rank,icp_fitness,cx,cy,cz,H,W,D,l1l2,l2l3,n_pts
0,0.00175728,32.8111,8.10964,-0.173922,1.47704,0.991791,0.940181,7.98443,1.60889,250
1,0.0119526,20.9158,-3.00937,-0.106274,1.84414,1.21999,1.05124,3.65597,1.2902,1344
2,0.0272656,21.169,-3.94526,-0.840412,0.716805,1.92437,0.803577,4.82777,1.44123,315
3,999,38.0286,-0.648137,0.239601,1.24306,0.612804,0.463014,7.60927,1.57932,222
4,999,17.6096,-5.06867,-0.376881,1.16483,0.781673,0.677098,7.7988,1.23579,198
5,999,22.4877,-1.80286,-0.763793,0.651634,0.39176,0.26727,7.41325,1.9805,92
6,999,74.8824,11.1553,0.991153,1.33853,0.668716,0.302035,15.7177,1.89262,64
7,999,124.529,5.75587,9.88833,0.83899,0.306183,0.267715,8.51911,1.42445,37
