rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,8.96371,1,4.10475,17.7222,2.69058,-0.595125,310,1772,2082
1,5.11348,1,6.57387,126.36,6.30926,-3.39442,110,139,249
