rank,ratio,compact,tripod,dxy,cx,cy,cz,hi_n,lo_n,total_n
0,3.2774,0.957044,0,0.0594932,117.005,9.56632,-3.23703,19932,16152,36084
1,2.70634,0.950713,0,0.316402,117.063,9.22352,-3.24976,10328,28069,38397
2,7.5136,0.933724,0,0.11167,113.497,8.38231,-5.12427,5556,4575,10131
3,2.52895,0.930314,0,0.0566883,11.3912,-3.7045,-2.101,414,689,1103
4,2.6232,0.927894,0,0.275663,117.086,9.14325,-3.32077,11062,36835,47897
5,3.18546,0.927764,0,0.165743,118.091,2.94901,-3.35539,5617,15379,20996
6,8.79235,0.927321,0,0.0517296,113.518,8.45547,-4.66914,697,3463,4160
7,2.96972,0.925583,0,0.0820611,119.117,9.02836,-2.87001,6356,5362,11718
8,7.8574,0.924891,0,0.0233826,17.2418,-2.77358,-1.47715,341,2062,2403
9,4.9134,0.924879,0,0.0612971,17.2137,-2.72968,-1.86643,2586,3526,6112
10,2.95935,0.92257,0,0.0256272,117.274,8.25977,-2.2196,4561,4156,8717
11,4.81881,0.921649,0,0.0120219,121.086,9.07854,-2.90807,3863,2129,5992
12,4.77089,0.920755,0,0.0215892,121.112,8.98979,-2.61845,3542,2008,5550
13,2.87735,0.920412,0,0.11444,119.815,3.37755,-4.68849,1492,5439,6931
14,3.90009,0.919059,0,0.0281726,119.174,8.75551,-2.81965,4961,2816,7777
15,3.67821,0.918797,0,0.0235091,121.894,4.16758,-2.69426,2957,2097,5054
16,3.05038,0.917696,0,0.0400138,119.989,3.70405,-3.21903,3215,4142,7357
17,2.93847,0.917096,0,0.022552,119.979,3.93799,-2.3924,2769,3762,6531
18,2.91707,0.916641,0,0.0216316,117.248,8.35361,-2.53256,4823,4580,9403
19,3.0031,0.915721,0,0.0572034,119.985,3.79024,-2.91057,3046,4232,7278
20,3.16315,0.915341,0,0.0252987,117.307,8.19907,-1.63293,6652,5952,12604
21,4.39995,0.913114,0,0.0335882,73.2351,-2.86664,-3.9403,311,1041,1352
22,3.92357,0.912539,0,0.0105394,121.886,4.28896,-2.28009,2950,1766,4716
23,2.89384,0.911953,0,0.0472066,117.212,8.48036,-2.95287,6152,5170,11322
24,3.27174,0.9116,0,0.0937554,120.955,9.43556,-5.00953,11126,5163,16289
25,4.76429,0.911233,0,0.123576,96.2307,7.28462,-4.27491,1220,755,1975
26,5.6929,0.911227,0,0.0262703,69.9751,3.79634,-3.17596,624,2527,3151
27,3.62157,0.910163,0,0.0425415,121.904,4.0366,-3.14835,3079,2363,5442
28,3.72161,0.909531,0,0.0616756,120.888,9.92973,-5.04137,1758,829,2587
29,3.13917,0.908293,0,0.0837714,120.032,3.54694,-2.83167,3667,5561,9228
30,2.89082,0.907848,0,0.0818909,117.951,3.0769,-5.05653,5599,5051,10650
31,2.64895,0.907337,0,0.0159358,121.903,3.80774,-4.59684,3971,4812,8783
32,5.59196,0.904556,0,0.218919,18.4276,-2.95181,-2.10988,550,1228,1778
33,2.66513,0.902317,0,0.098161,119.85,3.39489,-4.58658,1944,7117,9061
34,4.62064,0.897608,0,0.140868,96.2167,7.15847,-4.49491,1972,566,2538
35,4.33386,0.89704,0,0.0456851,120.135,2.59419,-4.45392,827,1003,1830
36,4.28287,0.896673,0,0.267505,121.969,3.2429,-5.03292,1058,639,1697
37,4.11273,0.893951,0,0.0524235,122.022,2.93008,-4.54338,690,773,1463
38,2.76661,0.893406,0,0.10756,119.874,3.42732,-4.33013,2340,7176,9516
39,2.79902,0.891365,0,0.0746234,117.975,3.09545,-4.87566,6670,6576,13246
40,3.43565,0.890601,0,0.0536501,20.4762,-2.77972,-1.68175,2117,4588,6705
41,2.74383,0.890586,0,0.1436,120.887,10.3123,-3.24176,2264,600,2864
42,3.91163,0.889111,0,0.0127955,120.072,2.86371,-4.71601,840,907,1747
43,3.07626,0.888419,0,0.0479144,121.911,3.90782,-3.58311,3220,2749,5969
44,2.96787,0.884693,0,0.0910594,120.945,9.44458,-5.15855,9464,4265,13729
45,2.80996,0.882225,0,0.306639,48.4542,4.43978,-3.23136,226,1173,1399
46,4.76968,0.881715,0,0.0969243,73.9916,-2.82521,-3.95021,203,470,673
47,3.20468,0.881222,0,0.00373589,118.036,3.37601,-3.16189,4449,7033,11482
