rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,8.97613,1,7.37635,151.261,16.4693,-6.31068,110,131,241
1,8.69184,0.996119,3.57713,113.508,8.41375,-4.204,935,5184,6119
2,8.13989,1,1.2432,17.2133,-2.77023,-0.982464,532,3072,3604
