rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,32.6446,1,4.87312,14.9021,7.06219,0.471363,752,6749,7501
1,20.9785,0.997579,1.26217,37.0162,17.6488,-1.24653,1949,11275,13224
2,20.037,0.970443,1.58153,4.88094,1.36121,-0.755364,783,7029,7812
3,17.2934,1,4.79557,37.6251,17.5305,-0.963111,534,4791,5325
4,13.4029,1,3.63887,20.8772,9.79734,0.325715,652,5124,5776
5,12.7967,0.942857,5.81491,40.6181,18.9609,-2.05622,141,1252,1393
6,12.1701,1,6.34481,26.5206,12.363,-1.3893,595,5342,5937
7,11.0177,0.96323,4.0698,50.0588,22.6338,-1.74707,3028,8766,11794
8,10.7059,0.911628,2.03815,30.9914,16.6237,-0.697394,2027,18226,20253
9,10.3787,0.988777,3.377,8.31057,2.8242,-0.703846,2024,14710,16734
10,9.47277,0.969697,8.35657,49.6639,23.6246,-0.834249,1157,8890,10047
11,8.81676,0.982278,4.95357,49.5718,23.5303,-0.96516,1325,11912,13237
12,7.82679,0.993135,1.92208,21.0712,11.9146,-0.866317,1484,7884,9368
13,7.79408,0.99375,1.6056,16.2002,9.65479,-0.806534,1614,8059,9673
14,7.28133,1,31.3952,48.9487,21.2723,1.43014,709,1163,1872
15,6.9298,0.982301,8.80116,30.8197,16.3604,-0.998714,1548,11207,12755
16,6.88848,1,1.33216,40.6876,20.8154,-1.15111,1867,7821,9688
17,6.70554,0.995253,1.47197,35.754,18.57,-1.09734,1786,9725,11511
18,6.68975,0.969231,1.52697,11.2968,7.45245,-0.77861,1663,9427,11090
19,6.11055,0.970588,2.6583,63.5242,28.9302,-1.56253,545,1675,2220
20,6.06916,1,2.65757,41.2315,17.4742,-1.61288,4246,16831,21077
21,5.95177,1,9.22494,24.893,10.3801,-1.50752,1248,3309,4557
22,5.87728,0.998363,1.32252,7.69821,1.65683,0.116641,717,1990,2707
23,5.82312,0.963964,4.04545,44.4585,20.6986,-2.04666,403,3617,4020
24,5.73306,1,3.76363,46.7007,20.0634,-1.84605,1733,4938,6671
25,5.70914,0.998285,7.28017,28.9859,12.2419,-1.55436,1415,3413,4828
26,5.58961,0.999376,1.42493,22.5483,8.82747,-0.0114224,1851,15070,16921
27,5.57293,0.996061,1.78385,37.5564,15.6329,-0.200626,1804,12701,14505
28,5.43979,1,1.46815,46.8619,19.9668,-0.971566,4237,16804,21041
29,5.40891,0.998562,1.91511,42.3281,17.7938,-0.284551,2095,10446,12541
30,5.40215,0.99778,1.41915,32.1877,13.1968,-0.120145,2006,13365,15371
31,5.25124,0.988142,1.38599,56.9242,25.4211,-1.64349,3641,12623,16264
32,5.24435,0.995541,1.19023,17.1409,6.37829,0.0278413,897,5324,6221
33,4.9814,0.917104,2.5682,27.6433,11.1437,-1.05048,4293,16349,20642
34,4.81783,0.966605,10.1536,26.2519,11.0043,-1.52727,1387,3501,4888
35,4.58264,0.996178,4.72645,62.1973,27.5151,-1.21195,790,150,940
36,4.50732,0.992593,1.72147,47.5357,23.9392,-1.27427,292,841,1133
37,4.31633,0.995215,1.48447,12.3435,4.49285,0.0091054,1506,13544,15050
38,3.96692,0.908401,42.8503,33.9174,14.0263,-1.60046,7805,12459,20264
39,3.38113,0.970386,53.4462,44.8564,18.9913,-2.02307,1475,7847,9322
40,3.24286,1,1,12.1144,8.27207,-0.755246,290,2528,2818
