rank,ratio,compact,l2l3,tripod,cx,cy,cz,hi_n,lo_n,total_n
0,8.69184,0.996119,0.625001,1,113.508,8.41375,-4.204,935,5184,6119
1,8.13989,1,0.625,1,17.2133,-2.77023,-0.982464,532,3072,3604
2,5.23577,0.993007,0.625,1,120.647,9.42941,-2.04333,576,1211,1787
