rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,18.4213,1,1.19734,36.94,17.5253,-1.30521,353,3163,3516
1,17.8784,1,9.97965,50.1728,22.4714,-1.76006,490,1561,2051
2,12.1854,0.923077,2.3325,40.6193,18.9677,-2.06735,61,537,598
3,10.1673,0.954198,1.48208,8.39739,2.80075,-0.690675,254,2267,2521
4,9.68119,0.971429,3.89241,55.0432,27.8079,-0.509938,169,124,293
5,9.28695,1,3.62868,54.2238,27.3235,-0.628544,394,3527,3921
6,8.69414,1,1.23045,46.7947,20.0964,-1.91231,107,705,812
7,7.57567,0.9375,1.67567,47.5814,24.0964,-1.57399,189,1683,1872
8,7.38944,1,2.56607,47.5608,24.2932,-0.635226,397,3557,3954
9,6.73131,1,8.72839,44.4429,20.6949,-2.02338,135,973,1108
10,6.67634,0.939394,1.52314,35.8423,18.7207,-1.23939,401,3592,3993
11,6.58156,0.917293,1.39617,40.8083,20.9872,-1.34441,404,3620,4024
12,6.22287,0.96129,9.67637,26.1375,14.3513,-1.04649,436,3913,4349
13,6.20097,1,1.85062,41.2285,17.4852,-1.74848,320,1630,1950
14,6.09087,1,9.56201,63.3778,28.9341,-2.01717,187,404,591
15,5.8858,1,6.93918,24.832,10.3441,-1.53548,191,509,700
16,5.85545,0.964912,2.85735,38.9175,20.4962,-0.221066,360,3226,3586
17,5.62627,0.974684,1.11504,46.9813,20.0676,-1.40288,534,4788,5322
18,5.461,0.992268,2.73767,57.038,25.5414,-1.63117,1320,2738,4058
19,5.40437,1,8.6948,28.928,12.2117,-1.5644,231,511,742
20,5.29911,0.919643,1.26568,27.6631,11.1502,-0.853356,1295,5341,6636
21,5.27411,0.923077,3.80058,7.84553,1.64598,0.0724552,293,2624,2917
22,5.02612,0.936937,6.65676,45.9585,23.0454,-1.58798,1128,2592,3720
23,4.85394,1,4.44556,62.2659,27.5481,-1.47273,621,68,689
24,4.61646,0.984663,3.79351,24.2145,9.56866,-1.46012,923,2013,2936
25,4.56982,0.988372,10.3287,26.1861,10.9688,-1.53547,202,551,753
26,4.23014,0.994505,2.4078,32.4992,13.2608,-0.870998,438,3926,4364
27,3.88747,0.973684,14.444,40.5124,16.5486,-1.62037,229,2047,2276
28,3.88229,0.941818,27.6772,44.9253,18.9964,-2.01804,276,1413,1689
29,3.76287,0.923077,203.316,13.179,4.51295,-0.902507,152,1355,1507
30,3.72394,0.974026,10.3989,12.0534,8.21211,-0.74179,344,3077,3421
31,3.71196,0.931035,10.9845,53.5259,22.4455,-1.61792,221,1973,2194
32,3.56062,0.91358,4.92569,37.6945,15.7927,-1.12046,453,4059,4512
33,3.28203,0.933333,176.897,25.4167,14.26,-0.552259,453,4058,4511
34,3.22027,0.998347,4.14087,14.0869,5.65787,-1.22271,2894,3255,6149
35,3.20804,0.980198,3.99631,22.7667,8.91039,-0.754714,472,4238,4710
