rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,40.4702,1,4.7591,14.901,7.06228,0.4889,793,7123,7916
1,29.1391,0.983425,1.53729,36.9817,17.5911,-1.31918,1368,11466,12834
2,21.0055,0.9642,1.61622,4.89626,1.36737,-0.741347,812,7296,8108
3,20.8375,0.997625,1.39583,37.0182,17.6482,-1.24405,2011,11388,13399
4,20.7784,0.920651,3.98495,34.5253,16.29,-1.46508,1025,9215,10240
5,20.2358,0.924812,3.84482,34.4988,16.2734,-1.45735,955,8581,9536
6,19.7691,0.964467,1.60107,4.8679,1.35342,-0.767716,774,6952,7726
7,19.3748,1,1,32.2945,15.2562,-1.3496,637,5722,6359
8,16.5778,1,3.39732,37.6348,17.5281,-0.861237,547,4906,5453
9,15.8761,0.942667,3.98185,33.0188,15.5631,-1.51786,974,8754,9728
10,13.2994,1,4.25823,20.877,9.79745,0.339257,673,5166,5839
11,11.8641,0.945205,5.6585,40.629,18.968,-2.05017,148,1318,1466
12,11.2552,0.9375,16.9176,49.6598,23.5704,-0.925177,1163,10455,11618
13,9.91414,0.994585,1.88756,8.35769,2.83228,-0.666844,2215,16342,18557
14,8.9426,0.991398,1.75703,6.30719,5.15326,-0.775003,1223,5499,6722
15,8.53659,0.972527,3.88135,49.5717,23.5278,-0.966334,1340,12048,13388
16,8.1889,0.997628,1.83646,25.9058,14.0786,-0.92456,1490,9447,10937
17,8.1863,1,5.00575,46.3364,21.5083,-2.14167,144,1284,1428
18,7.85665,0.994652,1.92208,21.0718,11.9108,-0.863502,1475,7829,9304
19,7.7955,0.99375,1.6056,16.2002,9.65479,-0.806534,1614,8027,9641
20,7.07408,0.987883,1.52697,11.286,7.43946,-0.77847,1632,8490,10122
21,7.0351,0.987805,1.76355,30.8168,16.3526,-0.997241,1527,10860,12387
22,6.88855,1,1.33216,40.6876,20.8154,-1.15111,1867,7861,9728
23,6.71555,0.997621,1.47197,35.7537,18.5691,-1.09748,1783,9612,11395
24,6.66397,0.994152,2.17232,40.6952,20.8627,-1.1757,930,5857,6787
25,6.32261,0.980282,5.03172,34.9393,14.7071,-1.43224,1277,9082,10359
26,6.1042,0.902062,11.2679,47.8556,20.1971,-2.02004,194,1274,1468
27,6.0421,0.98017,1.15322,27.235,10.7489,-0.817094,1518,5065,6583
28,5.98551,0.998363,1.32252,7.69867,1.656,0.118032,716,2026,2742
29,5.94614,1,8.80102,24.8932,10.3802,-1.50754,1250,3333,4583
30,5.79436,1,3.7095,46.7007,20.0637,-1.8461,1766,4931,6697
31,5.69767,0.98928,11.9577,11.6188,3.79668,-0.934752,2160,9448,11608
32,5.69172,0.998255,7.06186,28.9863,12.2421,-1.55458,1418,3449,4867
33,5.65596,1,1.4614,42.3253,17.7936,-0.28365,2171,12553,14724
34,5.58961,0.999376,1.42493,22.5483,8.82745,-0.0113783,1850,15074,16924
35,5.57117,0.996061,1.78385,37.5564,15.6329,-0.200626,1804,12701,14505
36,5.42718,1,1.44704,46.8619,19.9667,-0.971675,4162,16898,21060
37,5.40183,0.997779,1.41937,32.1878,13.1968,-0.120197,2005,13367,15372
38,5.3874,0.977528,116.478,50.1384,22.4027,-2.04302,2019,18158,20177
39,5.34837,0.995074,1.26288,17.1494,6.37891,0.0358188,942,5814,6756
40,5.28212,1,8.11317,44.4424,20.6929,-2.05536,395,3544,3939
41,5.17315,0.984157,1.22754,27.3696,10.8221,-0.684721,3925,12296,16221
42,5.11763,0.991573,1.28644,56.8594,25.3831,-1.65428,4445,12843,17288
43,5.02317,0.954693,924.155,7.88778,3.45587,-1.68424,309,72,381
44,4.85884,0.961468,10.1245,26.2527,11.0048,-1.52684,1406,3505,4911
45,4.85331,0.983948,1.39475,27.3487,10.7843,-0.668143,3347,7806,11153
46,4.83367,0.994144,5.0653,35.5783,15.145,-1.83698,1537,556,2093
47,4.65527,0.930027,49.9667,10.271,2.65355,-0.699335,7206,5337,12543
48,4.52428,0.992593,1.72147,47.5359,23.9359,-1.26628,290,841,1131
49,4.50771,0.958678,2.07601,21.46,12.369,-1.24704,266,2382,2648
50,4.44047,0.995006,4.80489,62.1929,27.5159,-1.20707,805,156,961
51,4.31808,0.995215,1.48447,12.3439,4.49293,0.0125104,1503,13513,15016
52,4.24077,0.99776,14.0573,27.9044,11.4028,-1.01448,3842,12833,16675
53,3.98769,0.999352,1.51358,10.8279,3.95142,-1.17811,2398,10018,12416
54,3.94389,0.978142,56.9234,32.9526,13.4523,-1.82484,706,6344,7050
55,3.86369,0.999413,1.21718,14.3573,6.05928,-1.24975,7494,28556,36050
56,3.85276,1,5.62817,32.9615,13.5134,-1.83916,465,772,1237
57,3.69151,1,2.37318,44.7155,18.9282,-2.07099,1853,1396,3249
58,3.65235,0.990881,857.937,5.51572,2.68153,-1.70455,667,411,1078
59,3.63,0.908847,2.31043,64.7975,30.1364,-1.27074,464,689,1153
60,3.61308,0.933121,1041.06,7.33012,3.28586,-1.67973,314,530,844
61,3.48081,0.990496,36.8584,44.8844,19.0001,-2.02255,1901,7121,9022
62,3.242,0.992308,93.751,42.8212,22.0916,-2.10704,1170,392,1562
63,3.05445,0.969406,5.25719,61.5952,29.1506,-1.52101,3979,5927,9906
