rank,ratio,compact,l2l3,tripod,cx,cy,cz,hi_n,lo_n,total_n
0,5.59346,0.957895,0.625,1,16.6375,1.70897,-0.716771,947,4741,5688
1,5.04241,0.963768,0.625,1,58.2627,11.5465,1.02188,850,3820,4670
2,4.6156,1,0.625,1,44.3374,5.98396,0.00826931,73,645,718
3,3.47353,0.914847,0.625,1,51.7401,8.74755,0.230872,539,4833,5372
4,4.91309,1,0.625,0.611111,24.0151,2.91313,-0.509305,291,1281,1572
5,3.59164,0.984127,0.625,0.722222,43.6693,11.1624,-0.824798,206,1687,1893
6,2.93629,0.978022,0.625,0.777778,13.0845,5.83996,-0.615698,273,1144,1417
