rank,icp_fitness,cx,cy,cz,H,W,D,l1l2,l2l3,vert,zoff,n_pts
0,0.0143053,21.6391,6.94545,-1.29621,1.19689,4.02532,1.34632,11.7645,1.38561,0.0475943,0.49849,1555
1,999,54.2969,8.2585,-1.72224,0.989923,1.2519,1.58216,2.4545,2.51691,0.152578,0.515247,633
2,999,95.3745,1.01631,2.4355,0.504599,0.529671,0.66642,5.71818,5.29911,0.527877,0.512633,64
3,999,111.561,2.19964,-3.27433,0.873379,20.6402,3.57697,1799.05,3.25817,0.017522,0.60135,3521
4,999,68.9612,6.41247,4.87411,1.04387,0.404549,2.47793,72.1484,6.96351,0.364641,0.60514,164
5,999,91.8413,0.156744,-3.02318,0.686534,13.176,1.75849,919.446,2.09295,0.0179152,0.562135,3276
6,999,107.233,1.25062,-0.999163,0.765904,1.36675,0.341238,9.91845,6.81882,0.363489,0.629556,145
7,999,54.8227,6.45627,-1.71806,0.677845,0.995205,0.387744,4.15237,1.94758,0.338197,0.649728,189
8,999,63.7085,8.06859,-1.54089,0.50171,0.75465,0.677405,5.08212,1.80618,0.367804,0.372603,134
9,999,87.7152,-1.46689,-2.87235,0.524434,2.83291,0.435172,56.0397,1.99826,0.0395701,0.686011,329
10,999,104.346,2.1611,-3.20318,0.512798,1.31702,0.746582,6.42469,1.4517,0.0716538,0.569718,312
11,999,24.9664,6.12676,-1.32767,1.08578,0.917015,0.999651,2.07887,3.7016,0.594952,0.528641,508
12,999,46.9911,8.45996,-1.95634,0.593084,1.50574,0.965837,3.00376,3.62029,0.0518211,0.493369,378
13,999,56.8689,3.4704,-1.47797,1.62301,3.93981,1.905,6.30905,4.76699,0.337901,0.499618,1675
14,999,90.6187,-0.39513,1.60627,0.580765,2.19348,0.490271,28.0932,5.84897,0.0295682,0.427858,212
15,999,70.0346,-0.954338,-1.81218,1.57405,1.07462,0.676249,7.5678,1.62879,0.984608,0.377569,1000
16,999,10.5859,3.35223,1.18834,0.944893,0.359652,0.350155,11.5063,2.49506,0.977838,0.592898,241
17,999,80.0104,8.32046,-0.977425,0.60545,0.619804,0.307395,2.56598,3.17484,0.841709,0.433661,151
18,999,133.584,7.57689,-3.7964,0.532357,0.220581,0.255653,5.16706,1.61262,0.991909,0.485056,51
19,999,98.1957,0.0306855,-2.5313,0.516785,0.583038,0.302231,2.12558,7.54902,0.831988,0.468736,64
