rank,ratio,compact,l2l3,tripod,cx,cy,cz,hi_n,lo_n,total_n
0,8.96371,1,0.625,1,17.7222,2.69058,-0.595125,310,1772,2082
1,7.28772,0.999582,0.625,1,69.9107,-0.945737,-1.37261,3552,11594,15146
2,4.86891,0.928571,0.625,0.611111,44.4801,2.63996,-0.0567584,308,2761,3069
