Total: 592 pts x 33 dims
0 32.6470 7.7470 -0.9027 | 9.6323 6.4948 4.1289 6.9074 5.0847 17.9676 16.3576 7.4200 7.3476 8.5066 10.1525 ...
1 32.5787 7.9845 -0.9083 | 16.2708 14.8745 8.3105 6.2341 5.2925 21.5438 9.0456 4.1672 4.5491 2.1485 7.5634 ...
2 32.5270 7.7275 -0.8739 | 7.1516 7.8057 5.2619 9.0081 3.6560 21.4180 14.3526 12.8658 7.2576 3.5492 7.6735 ...
3 32.5816 7.7446 -0.8783 | 7.4751 6.5352 5.6181 8.4123 4.4801 23.6199 13.1092 12.1756 6.3721 3.1004 9.1022 ...
4 32.6802 7.7279 -0.8606 | 15.0428 6.2999 2.9572 4.5948 3.4685 16.5056 17.5349 7.1571 6.2355 7.8387 12.3651 ...
5 32.7826 7.7367 -0.8665 | 49.6846 3.0189 2.6486 2.6272 3.1083 9.4555 10.1180 4.1042 3.3353 5.2327 6.6669 ...
6 32.8852 7.7155 -0.8868 | 90.0180 0.3272 0.0000 1.0577 0.6833 2.3740 2.0972 0.3454 1.0105 2.0865 0.0000 ...
7 32.9107 7.7163 -0.8726 | 86.9530 0.3156 0.0000 1.4139 0.9688 3.4310 2.1948 0.9485 1.4576 1.9333 0.3835 ...
8 33.0847 7.7417 -0.8717 | 73.2710 1.0701 0.0000 1.2557 1.1723 9.1364 2.4280 1.2557 1.2557 2.2424 6.9128 ...
9 33.1256 7.7076 -0.8766 | 100.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 ...
