rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,9.13471,1,6.74447,21.663,8.11606,0.17738,131,1027,1158
1,8.37389,0.987805,8.67502,32.8135,8.10555,0.25478,131,1152,1283
2,8.32494,1,5.39232,19.3369,-4.05346,0.00227841,280,1236,1516
3,6.09629,1,6.26563,33.1233,-4.59646,0.266713,331,2964,3295
4,6.02828,1,2.10348,51.245,3.50047,1.40486,206,586,792
5,5.47592,1,13.213,123.834,5.1522,4.20574,262,139,401
6,5.39387,0.959184,4.01019,19.8883,-5.034,-0.719251,216,1478,1694
7,5.28213,1,3.6968,60.8465,-7.14082,-0.385538,495,659,1154
8,5.11739,0.970794,3.04317,20.9148,-2.94899,-0.144015,875,5692,6567
