rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
52,4.96667,0.96129,4.34238,56.2964,25.1402,-2.27274,966,8680,9646
53,4.96402,1,14.076,25.8643,14.1712,-0.932656,2714,24407,27121
54,4.92304,0.997276,13.9836,27.8341,11.4734,-1.15628,5158,21066,26224
55,4.85906,0.961468,10.1245,26.2527,11.0048,-1.52684,1406,3493,4899
56,4.83367,0.994144,5.0653,35.5783,15.145,-1.83698,1537,556,2093
57,4.53999,1,7.92665,33.3261,17.9207,-1.1819,24170,13725,37895
58,4.50085,0.924592,4.9841,45.9568,23.0926,-1.60105,5098,11086,16184
59,4.47749,1,15.5934,17.1701,6.27293,-0.17948,2638,23728,26366
60,4.46955,0.931212,1.56749,11.2121,4.06464,-1.13338,10551,26468,37019
61,4.38165,0.999122,10.8882,30.764,16.458,-1.02659,3169,28502,31671
62,4.37336,0.975182,31.1376,32.9129,13.409,-1.82836,698,6272,6970
63,4.30869,0.99536,36.2504,46.4911,23.8953,-1.35221,4394,4074,8468
64,4.17501,1,1.48777,34.6656,14.6372,-1.6168,10005,12507,22512
65,4.16132,0.994253,1.91076,44.9986,18.9728,-2.00983,4887,22547,27434
66,4.11478,0.998763,1.15708,14.3767,5.97717,-1.30946,10344,43841,54185
67,4.02497,1,2.21015,10.5947,3.53973,-1.27028,8027,12957,20984
68,3.9456,0.995485,20.4402,32.3058,17.4497,-1.33936,20366,9263,29629
69,3.94513,0.999084,1.85098,33.8564,13.9674,-1.58427,8640,19110,27750
70,3.91781,1,83.0953,65.1997,31.9363,-0.4186,1649,1017,2666
71,3.88549,1,3.39448,31.0085,16.7839,-0.664911,5807,52246,58053
72,3.86194,0.999412,1.21475,14.3571,6.05909,-1.24911,7510,28593,36103
73,3.84877,1,5.52862,32.9599,13.5114,-1.83926,478,785,1263
74,3.78846,0.999615,4.67173,57.1661,25.7331,-1.61521,16271,22695,38966
75,3.7383,1,2.307,44.7143,18.9283,-2.07352,1901,1562,3463
76,3.70516,0.945073,1.3379,10.6508,3.69574,-1.13462,13465,32144,45609
77,3.51458,1,8.70597,63.3735,28.934,-2.0297,1546,1229,2775
78,3.40261,0.999835,295.86,49.283,25.0023,0.548807,15388,8429,23817
79,3.35152,1,252.596,40.9031,21.1915,-0.895396,3189,28688,31877
80,3.34009,0.999264,25.8157,24.172,9.63605,-1.41768,19724,26381,46105
81,3.31608,0.909792,47.8113,44.8689,18.9934,-2.02839,1369,7948,9317
82,3.15329,0.969466,23.8125,37.2177,19.7178,-0.478506,2772,24932,27704
83,3.106,0.924901,954.036,8.88375,3.98006,-1.68538,253,346,599
84,3.09226,1,83.4202,18.1001,6.41138,-0.825485,1952,17552,19504
85,3.04524,1,141.985,44.4247,22.9668,-1.5191,12295,5753,18048
86,3.00026,0.995763,2.42691,47.9163,20.371,-2.12051,1770,15022,16792
