rank,ratio,compact,l2l3,cx,cy,cz,hi_n,lo_n,total_n
0,40.4702,1,4.7591,14.901,7.06228,0.4889,793,7123,7916
1,29.3422,0.982391,1.46064,36.9826,17.5903,-1.32083,1354,11301,12655
2,24.1944,1,2.22596,37.0215,17.6445,-1.23325,2199,18994,21193
3,20.9403,0.9642,1.61622,4.89626,1.36737,-0.741347,812,7294,8106
4,20.6432,0.919388,3.9874,34.5304,16.2926,-1.46629,1024,9197,10221
5,20.2358,0.924812,3.84482,34.4988,16.2734,-1.45735,955,8581,9536
6,19.7691,0.964467,1.60107,4.8679,1.35342,-0.767716,774,6952,7726
7,16.1864,0.942513,3.94361,33.0147,15.56,-1.51617,969,8702,9671
8,15.512,1,3.71755,37.7102,17.5028,-0.401095,1045,9395,10440
9,14.0155,1,2.75822,26.7284,12.456,0.0868186,967,8438,9405
10,13.2994,1,4.25823,20.877,9.79745,0.339257,673,5166,5839
11,11.8623,0.961832,5.30433,40.6279,18.9685,-2.05458,143,1271,1414
12,10.8658,1,4.59942,32.3034,14.9914,-0.136968,1594,10261,11855
13,9.93762,0.993682,1.8943,8.35751,2.83225,-0.667091,2213,16437,18650
14,9.91772,1,11.9712,9.13846,4.83173,-1.02593,10100,35995,46095
15,8.52782,1,1.63726,50.8769,23.4424,-0.229721,618,4302,4920
16,7.96674,1,1.71296,61.8288,28.7196,-1.53615,2466,2231,4697
17,7.91975,1,2.18788,47.55,24.3795,-0.484217,2827,18209,21036
18,7.90369,1,1.23029,46.8625,19.9673,-0.973708,4702,42308,47010
19,7.81419,0.998783,3.53872,44.5192,20.8952,-1.29418,3522,20824,24346
20,7.81212,1,4.72518,49.5131,23.475,-1.04632,2159,19420,21579
21,7.71344,1,2.43957,38.9242,20.5003,-0.253683,2986,26855,29841
22,7.25429,0.983359,16.811,64.8037,29.9102,-2.33759,3017,1406,4423
23,6.90994,0.999513,1.16297,42.338,17.8026,-0.327526,4078,36686,40764
24,6.89805,1,2.25401,55.0691,27.8228,-0.503706,656,239,895
25,6.56579,0.975543,1.11468,27.2151,10.7304,-0.817452,1639,11635,13274
26,6.4615,1,1.32751,24.912,10.3815,-1.65663,589,1550,2139
27,6.40089,0.983957,5.46576,29.1926,12.3475,-1.10651,3368,19227,22595
28,6.39504,1,1.24411,49.7906,23.625,-0.419189,4254,19571,23825
29,6.27513,0.985354,1.69923,27.3283,10.7682,-0.642699,3706,22354,26060
30,6.25508,0.995809,1.29384,40.687,20.816,-1.15854,2115,19020,21135
31,6.24426,0.976919,1.57649,21.0707,11.9153,-0.877629,2098,18865,20963
32,6.12915,0.989629,1.31888,16.1979,9.65614,-0.81795,2208,19860,22068
33,6.09377,0.902062,11.2679,47.8556,20.1971,-2.02004,194,1233,1427
34,6.03224,1,2.92469,41.2309,17.4749,-1.62087,4142,16279,20421
35,5.99809,1,8.80066,24.8932,10.3802,-1.50852,1268,3481,4749
36,5.99462,0.971725,5.91238,44.1677,21.8114,-1.1632,6732,13548,20280
37,5.96859,0.985418,1.67574,27.3761,10.8158,-0.681143,4373,24373,28746
38,5.94688,0.932331,7.75001,47.5223,23.9958,-1.43764,579,5196,5775
39,5.82113,0.986688,1.11516,27.369,10.7784,-0.696372,3331,15821,19152
40,5.79436,1,3.7095,46.7007,20.0637,-1.8461,1766,4931,6697
41,5.72688,1,7.8805,44.462,20.7014,-2.03813,383,3435,3818
42,5.6955,0.998255,7.06186,28.9863,12.2421,-1.55458,1418,3433,4851
43,5.66447,1,27.8157,21.8249,12.7423,-0.0848543,3308,29754,33062
44,5.57339,0.96384,1.05229,35.7481,18.589,-1.09922,2572,23137,25709
45,5.46108,0.972546,7.41826,56.6091,25.0921,-1.87168,1627,6270,7897
46,5.40486,0.966216,3.09047,37.5727,15.6846,-0.442815,3772,33930,37702
47,5.26659,1,16.2597,50.1398,22.4486,-1.69322,18901,34957,53858
48,5.20219,1,2.62031,63.4644,28.9155,-1.8087,2364,3852,6216
49,5.09522,0.960357,6.59825,22.5725,8.83059,-0.106599,4663,41954,46617
50,5.064,0.996508,47.5359,11.6218,3.85915,-0.97134,5379,13253,18632
51,5.04503,0.97969,2.02931,32.1923,13.1975,-0.289918,4000,35986,39986
